,Number,Position,Age,Foot,Experience,Experience_VFF,Tactic,Decision,RT
0,901,Fosvarsspiller,901,Højre,0,0,Pictures/Klip_1/Klip_1.mp4,Passing over opponent,0.8580719589954242
1,901,Fosvarsspiller,901,Højre,0,0,Pictures/Klip_5/Klip_5.mp4,Switching false,1.1333078749885317
2,901,Fosvarsspiller,901,Højre,0,0,Pictures/Klip_4/Klip_4.mp4,Highest free man,1.5183671249833424
3,901,Fosvarsspiller,901,Højre,0,0,Pictures/Klip_2/Klip_2.mp4,Passing over the opponent,1.5768634590203874
4,901,Fosvarsspiller,901,Højre,0,0,Pictures/Klip_3/Klip_3.mp4,Link,1.6052870000130497
