,Number,Position,Age,Foot,Experience,Experience_VFF,Tactic,Decision
0,8,Fosvarsspiller,8,Højre,1,1,,Switching 2
1,,,,,,,,Link false
2,,,,,,,,Higest free man
3,,,,,,,,Switching false
4,,,,,,,,Highest free man
