,Number,Position,Team,Age,Foot,Experience,Experience_VFF,Video,Decision,RT
0,45,Fosvarsspiller,U16,15,Højre,5,2,Warmup/Klip_2\Klip_2_2.mp4,switch play,1.017859999963548
1,45,Fosvarsspiller,U16,15,Højre,5,2,Warmup/Klip_1\Klip_1_1.mp4,link out,1.5013398999581113
2,45,Fosvarsspiller,U16,15,Højre,5,2,Warmup/Klip_3\Klip_3_1.mp4,highest free man2,2.114196299982723
3,45,Fosvarsspiller,U16,15,Højre,5,2,Pictures/Klip_58\Klip_58_3.mp4,switch play,1.849291999998968
4,45,Fosvarsspiller,U16,15,Højre,5,2,Pictures/Klip_26\Klip_26_1.mp4,false highest free man,1.7158454000018537
5,45,Fosvarsspiller,U16,15,Højre,5,2,Pictures/Klip_77\Klip_77_2.mp4,link out,2.752963799983263
6,45,Fosvarsspiller,U16,15,Højre,5,2,Pictures/Klip_45\Klip_45_3.mp4,false highest free man2,1.772718199994415
7,45,Fosvarsspiller,U16,15,Højre,5,2,Pictures/Klip_72\Klip_72_1.mp4,false link out,1.1620632000267506
8,45,Fosvarsspiller,U16,15,Højre,5,2,Pictures/Klip_81\Klip_81_4.mp4,false link out,1.9582664999761619
9,45,Fosvarsspiller,U16,15,Højre,5,2,Pictures/Klip_69\Klip_69_2.mp4,false highest free man,1.1574711999855936
10,45,Fosvarsspiller,U16,15,Højre,5,2,Pictures/Klip_85\Klip_85_4.mp4,false switch play,1.877665700041689
11,45,Fosvarsspiller,U16,15,Højre,5,2,Pictures/Klip_92\Klip_92_3.mp4,switch play,2.2156386999995448
12,45,Fosvarsspiller,U16,15,Højre,5,2,Pictures/Klip_83\Klip_83_4.mp4,false switch play 2,2.2757586000370793
13,45,Fosvarsspiller,U16,15,Højre,5,2,Pictures/Klip_21\Klip_21_2.mp4,switch play,1.3346457000006922
14,45,Fosvarsspiller,U16,15,Højre,5,2,Pictures/Klip_12\Klip_12_2.mp4,link out,3.124954800005071
15,45,Fosvarsspiller,U16,15,Højre,5,2,Pictures/Klip_73\Klip_73_2.mp4,switch play,1.006872400001157
16,45,Fosvarsspiller,U16,15,Højre,5,2,Pictures/Klip_93\Klip_93_3.mp4,switch play,1.845115399977658
17,45,Fosvarsspiller,U16,15,Højre,5,2,Pictures/Klip_15\Klip_15_1.mp4,switch play,1.9921546000405215
18,45,Fosvarsspiller,U16,15,Højre,5,2,Pictures/Klip_17\Klip_17_2.mp4,link out,3.7199783999822102
19,45,Fosvarsspiller,U16,15,Højre,5,2,Pictures/Klip_14\Klip_14_1.mp4,switch play,2.6226381000014953
20,45,Fosvarsspiller,U16,15,Højre,5,2,Pictures/Klip_30\Klip_30_1.mp4,switch play,2.226309699995909
21,45,Fosvarsspiller,U16,15,Højre,5,2,Pictures/Klip_18\Klip_18_3.mp4,switch play2,1.880979000008665
22,45,Fosvarsspiller,U16,15,Højre,5,2,Pictures/Klip_88\Klip_88_4.mp4,false link out false,2.115675500012003
23,45,Fosvarsspiller,U16,15,Højre,5,2,Pictures/Klip_65\Klip_65_2.mp4,link out ,2.445853800047189
24,45,Fosvarsspiller,U16,15,Højre,5,2,Pictures/Klip_59\Klip_59_1.mp4,highest free man,1.5342988000484183
25,45,Fosvarsspiller,U16,15,Højre,5,2,Pictures/Klip_28\Klip_28_3.mp4,switch play2,1.2326888000243343
26,45,Fosvarsspiller,U16,15,Højre,5,2,Pictures/Klip_7\Klip_7_1.mp4,link out,2.3468726000282913
27,45,Fosvarsspiller,U16,15,Højre,5,2,Pictures/Klip_39\Klip_39_3.mp4,switch play2,3.052656699961517
28,45,Fosvarsspiller,U16,15,Højre,5,2,Pictures/Klip_75\Klip_75_1.mp4,switch play ,3.2585454000509344
29,45,Fosvarsspiller,U16,15,Højre,5,2,Pictures/Klip_38\Klip_38_1.mp4,switch play,2.4785154000273906
30,45,Fosvarsspiller,U16,15,Højre,5,2,Pictures/Klip_78\Klip_78_1.mp4,highest free man,3.746298000041861
31,45,Fosvarsspiller,U16,15,Højre,5,2,Pictures/Klip_62\Klip_62_2.mp4,link out ,4.510630499979015
32,45,Fosvarsspiller,U16,15,Højre,5,2,Pictures/Klip_70\Klip_70_1.mp4,highest free man,1.5177802999969572
33,45,Fosvarsspiller,U16,15,Højre,5,2,Pictures/Klip_90\Klip_90_4.mp4,false link out2 ,1.8136190000222996
34,45,Fosvarsspiller,U16,15,Højre,5,2,Pictures/Klip_84\Klip_84_4.mp4,false switch play,2.3194056000211276
35,45,Fosvarsspiller,U16,15,Højre,5,2,Pictures/Klip_74\Klip_74_1.mp4,switch play ,1.7821265999809839
36,45,Fosvarsspiller,U16,15,Højre,5,2,Pictures/Klip_24\Klip_24_2.mp4,switch play2,3.4670218999963254
37,45,Fosvarsspiller,U16,15,Højre,5,2,Pictures/Klip_23\Klip_23_2.mp4,switch play2,3.2331244999659248
38,45,Fosvarsspiller,U16,15,Højre,5,2,Pictures/Klip_94\Klip_94_3.mp4,switch play,2.8987582999980077
39,45,Fosvarsspiller,U16,15,Højre,5,2,Pictures/Klip_8\Klip_8_2.mp4,switch play2,2.9448957000277005
40,45,Fosvarsspiller,U16,15,Højre,5,2,Pictures/Klip_55\Klip_55_2.mp4,link out,5.402067000046372
