,Number,Position,Team,Age,Foot,Experience,Experience_VFF,Video,Decision,RT
0,100,Fosvarsspiller,U18,17,Højre,7,5,Warmup/Klip_1\Klip_1.mp4,Passing over opponent,0.5440540999989025
1,100,Fosvarsspiller,U18,17,Højre,7,5,Warmup/Klip_3\Klip_3.mp4,Link,12.644083900027908
2,100,Fosvarsspiller,U18,17,Højre,7,5,Warmup/Klip_2\Klip_2.mp4,Switching 2,5.007606500003021
3,100,Fosvarsspiller,U18,17,Højre,7,5,Pictures/Klip_47\Klip_47_1.mp4,highest free man,1.611035300011281
4,100,Fosvarsspiller,U18,17,Højre,7,5,Pictures/Klip_53\Klip_53_1.mp4,highest free man,2.1877694000140764
5,100,Fosvarsspiller,U18,17,Højre,7,5,Pictures/Klip_51\Klip_51_1.mp4,link out,1.1127255000174046
6,100,Fosvarsspiller,U18,17,Højre,7,5,Pictures/Klip_41\Klip_41_1.mp4,switch play,1.9235789999947883
7,100,Fosvarsspiller,U18,17,Højre,7,5,Pictures/Klip_42\Klip_42_1.mp4,highest free man,9.933326400001533
8,100,Fosvarsspiller,U18,17,Højre,7,5,Pictures/Klip_43\Klip_43_2.mp4,switch play,4.093388499983121
9,100,Fosvarsspiller,U18,17,Højre,7,5,Pictures/Klip_50\Klip_50_1.mp4,link out,1.100043700018432
10,100,Fosvarsspiller,U18,17,Højre,7,5,Pictures/Klip_52\Klip_52_1.mp4,switch play,3.9177344999625348
11,100,Fosvarsspiller,U18,17,Højre,7,5,Pictures/Klip_48\Klip_48_1.mp4,highest free man,5.101089800009504
12,100,Fosvarsspiller,U18,17,Højre,7,5,Pictures/Klip_49\Klip_49_1.mp4,switch play,1.7157768000033684
13,100,Fosvarsspiller,U18,17,Højre,7,5,Pictures/Klip_46\Klip_46_1.mp4,highest free man,1.8908673000405543
14,100,Fosvarsspiller,U18,17,Højre,7,5,Pictures/Klip_45\Klip_45_3.mp4,switch play2,2.3702865000232123
15,100,Fosvarsspiller,U18,17,Højre,7,5,Pictures/Klip_44\Klip_44_1.mp4,switch play2,3.493358400010038
