,Number,Position,Age,Foot,Experience,Experience_VFF,Tactic,Decision,RT
0,78,Fosvarsspiller,78,Højre,0,0,Pictures/Klip_1/Klip_1.mp4,Passing over opponent,0.9108159999996133
1,78,Fosvarsspiller,78,Højre,0,0,Pictures/Klip_4/Klip_4.mp4,Link false,2.1182625420005934
2,78,Fosvarsspiller,78,Højre,0,0,Pictures/Klip_2/Klip_2.mp4,Link,2.543721958001697
3,78,Fosvarsspiller,78,Højre,0,0,Pictures/Klip_3/Klip_3.mp4,Link,1.5399590829983936
4,78,Fosvarsspiller,78,Højre,0,0,Pictures/Klip_5/Klip_5.mp4,Switching false,1.16673054200146
