,Number,Position,Age,Foot,Experience,Experience_VFF,Video,Decision,RT
0,7,Angriber,15,Højre,9,2,Warmup/Klip_2/Klip_2.mp4,Link,4.0409337079909164
1,7,Angriber,15,Højre,9,2,Warmup/Klip_1/Klip_1.mp4,Link,3.6309069159906358
2,7,Angriber,15,Højre,9,2,Warmup/Klip_3/Klip_3.mp4,Highest free man,1.898166583996499
3,7,Angriber,15,Højre,9,2,Pictures/Klip_4/Klip_4.mp4,Link false,1.7843202910153195
4,7,Angriber,15,Højre,9,2,Pictures/Klip_3/Klip_3.mp4,Highest free man false ,1.5000220000219997
5,7,Angriber,15,Højre,9,2,Pictures/Klip_5/Klip_5.mp4,Highest free man,1.3315848330094013
6,7,Angriber,15,Højre,9,2,Pictures/Klip_1/Klip_1.mp4,Higest free man,1.3874812080175616
7,7,Angriber,15,Højre,9,2,Pictures/Klip_2/Klip_2.mp4,Switching,3.4841803750023246
