,Number,Position,Age,Foot,Experience,Experience_VFF,Video,Decision,RT
0,787878,Fosvarsspiller,78797857,Højre,0,0,Warmup/Klip_1/Klip_1.mp4,Link false positive,1.5972760830190964
1,787878,Fosvarsspiller,78797857,Højre,0,0,Warmup/Klip_2/Klip_2.mp4,Switching 2,1.2183801670034882
2,787878,Fosvarsspiller,78797857,Højre,0,0,Warmup/Klip_3/Klip_3.mp4,Highest free man,2.2763549159863032
3,787878,Fosvarsspiller,78797857,Højre,0,0,Pictures/Klip_3/Klip_3.mp4,Passing over opponent,1.5483884999994189
4,787878,Fosvarsspiller,78797857,Højre,0,0,Pictures/Klip_1/Klip_1.mp4,Higest free man,0.9527486670122016
5,787878,Fosvarsspiller,78797857,Højre,0,0,Pictures/Klip_5/Klip_5.mp4,Switching false,0.8703202919859905
6,787878,Fosvarsspiller,78797857,Højre,0,0,Pictures/Klip_2/Klip_2.mp4,Link,1.236340541014215
7,787878,Fosvarsspiller,78797857,Højre,0,0,Pictures/Klip_4/Klip_4.mp4,Switching,0.9117257909965701
