"Number","Position","Team","Age","Foot","Experience","Experience_VFF","Video","Decision","RT","Trial_Number","participant","highest_prio","highest_prio_named","answer","accuracy"
13,"Fosvarsspiller","U14",13,"Højre",8,3,"Klip_60\Klip_60_3","switch play",17.4450546000153,37,3,3,"Switch play to open lines",3,"Best"
13,"Fosvarsspiller","U14",13,"Højre",8,3,"Klip_66\Klip_66_1","switch play2",5.17782139999326,38,3,1,"Highest free man",3,"Good"
13,"Fosvarsspiller","U14",13,"Højre",8,3,"Klip_70\Klip_70_1","switch play",3.46281749999616,39,3,1,"Highest free man",3,"Good"
13,"Fosvarsspiller","U14",13,"Højre",8,3,"Klip_86\Klip_86_3","switch play",2.81416760000866,40,3,3,"Switch play to open lines",3,"Best"
13,"Fosvarsspiller","U14",13,"Højre",8,3,"Klip_14\Klip_14_1","switch play2",2.25163720001001,41,3,1,"Highest free man",3,"Good"
13,"Fosvarsspiller","U14",13,"Højre",8,3,"Klip_23\Klip_23_2","switch play2",5.58238160004839,42,3,2,"Link out",3,"Good"
13,"Fosvarsspiller","U14",13,"Højre",8,3,"Klip_35\Klip_35_1","highest free man",2.15056610002648,43,3,1,"Highest free man",1,"Best"
13,"Fosvarsspiller","U14",13,"Højre",8,3,"Klip_83\Klip_83_4","false highest free man",5.06711980002001,44,3,4,"Pass it over the opponent",5,"Bad"
13,"Fosvarsspiller","U14",13,"Højre",8,3,"Klip_92\Klip_92_3","switch play2",7.93822400004137,45,3,3,"Switch play to open lines",3,"Best"
13,"Fosvarsspiller","U14",13,"Højre",8,3,"Klip_87\Klip_87_3","switch play",8.44922609999776,46,3,3,"Switch play to open lines",3,"Best"
13,"Fosvarsspiller","U14",13,"Højre",8,3,"Klip_15\Klip_15_1","false highest free man",9.62938120006584,47,3,1,"Highest free man",5,"Bad"
13,"Fosvarsspiller","U14",13,"Højre",8,3,"Klip_36\Klip_36_1","switch play",14.239627800067,48,3,1,"Highest free man",3,"Good"
13,"Fosvarsspiller","U14",13,"Højre",8,3,"Klip_84\Klip_84_4","false switch play2",13.5341795999557,49,3,4,"Pass it over the opponent",7,"Bad"
13,"Fosvarsspiller","U14",13,"Højre",8,3,"Klip_82\Klip_82_4","pass it over",6.84406530007254,50,3,4,"Pass it over the opponent",4,"Best"
13,"Fosvarsspiller","U14",13,"Højre",8,3,"Klip_17\Klip_17_2","link out",6.82900420005899,51,3,2,"Link out",2,"Best"
13,"Fosvarsspiller","U14",13,"Højre",8,3,"Klip_73\Klip_73_2","switch play2",2.04508139996324,52,3,2,"Link out",3,"Good"
13,"Fosvarsspiller","U14",13,"Højre",8,3,"Klip_88\Klip_88_4","false switch play",5.7184578999877,53,3,4,"Pass it over the opponent",7,"Bad"
13,"Fosvarsspiller","U14",13,"Højre",8,3,"Klip_45\Klip_45_3","switch play2",2.09274509991519,54,3,3,"Switch play to open lines",3,"Best"
13,"Fosvarsspiller","U14",13,"Højre",8,3,"Klip_18\Klip_18_3","switch play",13.4754541000584,55,3,3,"Switch play to open lines",3,"Best"
13,"Fosvarsspiller","U14",13,"Højre",8,3,"Klip_72\Klip_72_1","switch play",9.13160959992092,56,3,1,"Highest free man",3,"Good"
13,"Fosvarsspiller","U14",13,"Højre",8,3,"Klip_12\Klip_12_2","switch play",14.0130645999452,57,3,2,"Link out",3,"Good"
13,"Fosvarsspiller","U14",13,"Højre",8,3,"Klip_24\Klip_24_2","switch play2",1.15665110002737,58,3,2,"Link out",3,"Good"
13,"Fosvarsspiller","U14",13,"Højre",8,3,"Klip_93\Klip_93_3","switch play",3.26600539998617,59,3,3,"Switch play to open lines",3,"Best"
13,"Fosvarsspiller","U14",13,"Højre",8,3,"Klip_62\Klip_62_2","switch play2",4.30208639998455,60,3,2,"Link out",3,"Good"
13,"Fosvarsspiller","U14",13,"Højre",8,3,"Klip_75\Klip_75_1","switch play",2.83026429999154,61,3,1,"Highest free man",3,"Good"
