,Number,Position,Team,Age,Foot,Experience,Experience_VFF,Video,Decision,RT
0,20,Fosvarsspiller,U17,15,Venstre,11,1,Warmup/Klip_2\Klip_2_2.mp4,switch play,14.750695399940014
1,20,Fosvarsspiller,U17,15,Venstre,11,1,Warmup/Klip_3\Klip_3_1.mp4,highest free man,17.646505299955606
2,20,Fosvarsspiller,U17,15,Venstre,11,1,Warmup/Klip_1\Klip_1_1.mp4,link out,17.36090279999189
3,20,Fosvarsspiller,U17,15,Venstre,11,1,Pictures/Klip_91\Klip_91_3.mp4,switch play2,13.459316299995407
4,20,Fosvarsspiller,U17,15,Venstre,11,1,Pictures/Klip_30\Klip_30_1.mp4,switch play,3.0753165000351146
5,20,Fosvarsspiller,U17,15,Venstre,11,1,Pictures/Klip_55\Klip_55_2.mp4,link out,16.737047900096513
6,20,Fosvarsspiller,U17,15,Venstre,11,1,Pictures/Klip_93\Klip_93_3.mp4,switch play,1.8093521000118926
7,20,Fosvarsspiller,U17,15,Venstre,11,1,Pictures/Klip_83\Klip_83_4.mp4,false highest free man,2.8814543000189587
8,20,Fosvarsspiller,U17,15,Venstre,11,1,Pictures/Klip_23\Klip_23_2.mp4,switch play2,1.4298792999470606
9,20,Fosvarsspiller,U17,15,Venstre,11,1,Pictures/Klip_22\Klip_22_1.mp4,highest free man,3.886525299982168
10,20,Fosvarsspiller,U17,15,Venstre,11,1,Pictures/Klip_77\Klip_77_2.mp4,link out2,3.428252200013958
11,20,Fosvarsspiller,U17,15,Venstre,11,1,Pictures/Klip_13\Klip_13_1.mp4,highest free man2,1.6271368999732658
12,20,Fosvarsspiller,U17,15,Venstre,11,1,Pictures/Klip_21\Klip_21_2.mp4,switch play,10.678211799939163
13,20,Fosvarsspiller,U17,15,Venstre,11,1,Pictures/Klip_75\Klip_75_1.mp4,highest free man,2.7461515000322834
14,20,Fosvarsspiller,U17,15,Venstre,11,1,Pictures/Klip_43\Klip_43_2.mp4,link out,2.561373999924399
15,20,Fosvarsspiller,U17,15,Venstre,11,1,Pictures/Klip_80\Klip_80_3.mp4,switch play2,10.686346900067292
16,20,Fosvarsspiller,U17,15,Venstre,11,1,Pictures/Klip_82\Klip_82_4.mp4,pass it over,10.774916099966504
17,20,Fosvarsspiller,U17,15,Venstre,11,1,Pictures/Klip_14\Klip_14_1.mp4,switch play,2.0925672999583185
18,20,Fosvarsspiller,U17,15,Venstre,11,1,Pictures/Klip_65\Klip_65_2.mp4,link out,4.717960899928585
19,20,Fosvarsspiller,U17,15,Venstre,11,1,Pictures/Klip_24\Klip_24_2.mp4,switch play2,2.9603693999815732
20,20,Fosvarsspiller,U17,15,Venstre,11,1,Pictures/Klip_39\Klip_39_3.mp4,switch play,4.6727822999237105
21,20,Fosvarsspiller,U17,15,Venstre,11,1,Pictures/Klip_59\Klip_59_1.mp4,highest free man2,3.191734699998051
22,20,Fosvarsspiller,U17,15,Venstre,11,1,Pictures/Klip_84\Klip_84_4.mp4,false switch play,19.24724130006507
23,20,Fosvarsspiller,U17,15,Venstre,11,1,Pictures/Klip_27\Klip_27_1.mp4,highest free man,9.484556399984285
24,20,Fosvarsspiller,U17,15,Venstre,11,1,Pictures/Klip_12\Klip_12_2.mp4,link out,2.9106630999594927
25,20,Fosvarsspiller,U17,15,Venstre,11,1,Pictures/Klip_16\Klip_16_1.mp4,switch play,3.412919200025499
26,20,Fosvarsspiller,U17,15,Venstre,11,1,Pictures/Klip_38\Klip_38_1.mp4,switch play,6.924783900030889
27,20,Fosvarsspiller,U17,15,Venstre,11,1,Pictures/Klip_72\Klip_72_1.mp4,highest free man,4.910532400012016
28,20,Fosvarsspiller,U17,15,Venstre,11,1,Pictures/Klip_90\Klip_90_4.mp4,false switch play,2.5203215999063104
29,20,Fosvarsspiller,U17,15,Venstre,11,1,Pictures/Klip_45\Klip_45_3.mp4,switch play2,4.582371999975294
30,20,Fosvarsspiller,U17,15,Venstre,11,1,Pictures/Klip_6\Klip_6_1.mp4,switch play,8.578073999960907
31,20,Fosvarsspiller,U17,15,Venstre,11,1,Pictures/Klip_5\Klip_5_1.mp4,switch play2,5.57522669993341
32,20,Fosvarsspiller,U17,15,Venstre,11,1,Pictures/Klip_15\Klip_15_1.mp4,highest free man,8.728570000035688
33,20,Fosvarsspiller,U17,15,Venstre,11,1,Pictures/Klip_92\Klip_92_3.mp4,switch play,6.323882600059733
34,20,Fosvarsspiller,U17,15,Venstre,11,1,Pictures/Klip_17\Klip_17_2.mp4,link out,2.2116526999743655
35,20,Fosvarsspiller,U17,15,Venstre,11,1,Pictures/Klip_62\Klip_62_2.mp4,switch play,5.016523500089534
36,20,Fosvarsspiller,U17,15,Venstre,11,1,Pictures/Klip_28\Klip_28_3.mp4,switch play2,1.7500916999997571
37,20,Fosvarsspiller,U17,15,Venstre,11,1,Pictures/Klip_8\Klip_8_2.mp4,link out,3.4713706000475213
38,20,Fosvarsspiller,U17,15,Venstre,11,1,Pictures/Klip_85\Klip_85_4.mp4,false switch play2 ,2.9682226999429986
39,20,Fosvarsspiller,U17,15,Venstre,11,1,Pictures/Klip_74\Klip_74_1.mp4,highest free man,2.04042719991412
40,20,Fosvarsspiller,U17,15,Venstre,11,1,Pictures/Klip_86\Klip_86_3.mp4,switch play,4.518209300003946
41,20,Fosvarsspiller,U17,15,Venstre,11,1,Pictures/Klip_87\Klip_87_3.mp4,switch play,2.9748142000753433
42,20,Fosvarsspiller,U17,15,Venstre,11,1,Pictures/Klip_89\Klip_89_4.mp4,pass it over,5.6562641999917105
43,20,Fosvarsspiller,U17,15,Venstre,11,1,Pictures/Klip_36\Klip_36_1.mp4,switch play,2.8316333000548184
44,20,Fosvarsspiller,U17,15,Venstre,11,1,Pictures/Klip_66\Klip_66_1.mp4,highest free man,0.9424298000521958
45,20,Fosvarsspiller,U17,15,Venstre,11,1,Pictures/Klip_94\Klip_94_3.mp4,false highest free man,4.022981100017205
46,20,Fosvarsspiller,U17,15,Venstre,11,1,Pictures/Klip_32\Klip_32_3.mp4,switch play2,2.4056234000017866
47,20,Fosvarsspiller,U17,15,Venstre,11,1,Pictures/Klip_69\Klip_69_2.mp4,switch play ,12.404596599983051
48,20,Fosvarsspiller,U17,15,Venstre,11,1,Pictures/Klip_73\Klip_73_2.mp4,switch play,4.182958300109021
49,20,Fosvarsspiller,U17,15,Venstre,11,1,Pictures/Klip_64\Klip_64_2.mp4,link out,6.6677998000523075
50,20,Fosvarsspiller,U17,15,Venstre,11,1,Pictures/Klip_78\Klip_78_1.mp4,switch play ,15.360808699973859
51,20,Fosvarsspiller,U17,15,Venstre,11,1,Pictures/Klip_58\Klip_58_3.mp4,switch play2,4.264017999987118
52,20,Fosvarsspiller,U17,15,Venstre,11,1,Pictures/Klip_18\Klip_18_3.mp4,switch play,1.1001657999586314
53,20,Fosvarsspiller,U17,15,Venstre,11,1,Pictures/Klip_7\Klip_7_1.mp4,link out,1.3022411999991164
54,20,Fosvarsspiller,U17,15,Venstre,11,1,Pictures/Klip_26\Klip_26_1.mp4,switch play,2.051404000027105
55,20,Fosvarsspiller,U17,15,Venstre,11,1,Pictures/Klip_10\Klip_10_1.mp4,link out,1.9486971000442281
56,20,Fosvarsspiller,U17,15,Venstre,11,1,Pictures/Klip_35\Klip_35_1.mp4,highest free man,2.4862486000638455
57,20,Fosvarsspiller,U17,15,Venstre,11,1,Pictures/Klip_88\Klip_88_4.mp4,pass it over,11.172646600054577
58,20,Fosvarsspiller,U17,15,Venstre,11,1,Pictures/Klip_60\Klip_60_3.mp4,switch play2,2.8323797000339255
59,20,Fosvarsspiller,U17,15,Venstre,11,1,Pictures/Klip_33\Klip_33_1.mp4,highest free man,7.1294456999748945
60,20,Fosvarsspiller,U17,15,Venstre,11,1,Pictures/Klip_70\Klip_70_1.mp4,highest free man,1.1274625998921692
