,Number,Position,Team,Age,Foot,Experience,Experience_VFF,Video,Decision,RT
0,5,Fosvarsspiller,U19,18,Højre,14,2,Warmup/Klip_1\Klip_1_1.mp4,link out,10.665881799999624
1,5,Fosvarsspiller,U19,18,Højre,14,2,Warmup/Klip_3\Klip_3_1.mp4,highest free man,16.856617200013716
2,5,Fosvarsspiller,U19,18,Højre,14,2,Warmup/Klip_2\Klip_2_2.mp4,switch play2,25.150417700002436
3,5,Fosvarsspiller,U19,18,Højre,14,2,Pictures/Klip_94\Klip_94_3.mp4,switch play2,28.51293500000611
4,5,Fosvarsspiller,U19,18,Højre,14,2,Pictures/Klip_57\Klip_57_2.mp4,switch play2,11.93593239999609
5,5,Fosvarsspiller,U19,18,Højre,14,2,Pictures/Klip_64\Klip_64_2.mp4,pass it over,43.4410324000055
6,5,Fosvarsspiller,U19,18,Højre,14,2,Pictures/Klip_81\Klip_81_4.mp4,false link out,49.24616989999777
7,5,Fosvarsspiller,U19,18,Højre,14,2,Pictures/Klip_80\Klip_80_3.mp4,switch play2,22.088101300003473
8,5,Fosvarsspiller,U19,18,Højre,14,2,Pictures/Klip_22\Klip_22_1.mp4,highest free man,14.811052399978507
9,5,Fosvarsspiller,U19,18,Højre,14,2,Pictures/Klip_71\Klip_71_3.mp4,switch play2,20.586806400038768
10,5,Fosvarsspiller,U19,18,Højre,14,2,Pictures/Klip_8\Klip_8_2.mp4,link out,19.46732489997521
11,5,Fosvarsspiller,U19,18,Højre,14,2,Pictures/Klip_23\Klip_23_2.mp4,link out,13.750687699997798
12,5,Fosvarsspiller,U19,18,Højre,14,2,Pictures/Klip_14\Klip_14_1.mp4,switch play2,9.350379100011196
13,5,Fosvarsspiller,U19,18,Højre,14,2,Pictures/Klip_59\Klip_59_1.mp4,highest free man2,7.0601832999964245
14,5,Fosvarsspiller,U19,18,Højre,14,2,Pictures/Klip_82\Klip_82_4.mp4,pass it over,19.68446399999084
15,5,Fosvarsspiller,U19,18,Højre,14,2,Pictures/Klip_84\Klip_84_4.mp4,false switch play,21.730697600054555
16,5,Fosvarsspiller,U19,18,Højre,14,2,Pictures/Klip_7\Klip_7_1.mp4,link out,6.4154393000062555
17,5,Fosvarsspiller,U19,18,Højre,14,2,Pictures/Klip_75\Klip_75_1.mp4,highest free man,5.14400349999778
18,5,Fosvarsspiller,U19,18,Højre,14,2,Pictures/Klip_28\Klip_28_3.mp4,switch play2,19.811419300036505
19,5,Fosvarsspiller,U19,18,Højre,14,2,Pictures/Klip_58\Klip_58_3.mp4,switch play2,6.221703800023533
20,5,Fosvarsspiller,U19,18,Højre,14,2,Pictures/Klip_62\Klip_62_2.mp4,switch play2,10.604868400027044
21,5,Fosvarsspiller,U19,18,Højre,14,2,Pictures/Klip_88\Klip_88_4.mp4,false switch play,17.29195899993647
22,5,Fosvarsspiller,U19,18,Højre,14,2,Pictures/Klip_60\Klip_60_3.mp4,switch play2,14.479339199955575
23,5,Fosvarsspiller,U19,18,Højre,14,2,Pictures/Klip_16\Klip_16_1.mp4,false highest free man,32.275444100028835
24,5,Fosvarsspiller,U19,18,Højre,14,2,Pictures/Klip_36\Klip_36_1.mp4,switch play,5.320100600016303
25,5,Fosvarsspiller,U19,18,Højre,14,2,Pictures/Klip_33\Klip_33_1.mp4,highest free man,3.8277280000038445
26,5,Fosvarsspiller,U19,18,Højre,14,2,Pictures/Klip_73\Klip_73_2.mp4,switch play,5.647174100042321
27,5,Fosvarsspiller,U19,18,Højre,14,2,Pictures/Klip_32\Klip_32_3.mp4,switch play2,11.885525700054131
28,5,Fosvarsspiller,U19,18,Højre,14,2,Pictures/Klip_30\Klip_30_1.mp4,switch play,5.7195566999726
29,5,Fosvarsspiller,U19,18,Højre,14,2,Pictures/Klip_5\Klip_5_1.mp4,highest free man,4.750866499962285
30,5,Fosvarsspiller,U19,18,Højre,14,2,Pictures/Klip_90\Klip_90_4.mp4,false link out2,9.046405999921262
31,5,Fosvarsspiller,U19,18,Højre,14,2,Pictures/Klip_12\Klip_12_2.mp4,switch play,12.601050200057216
32,5,Fosvarsspiller,U19,18,Højre,14,2,Pictures/Klip_55\Klip_55_2.mp4,false link out,11.186013499973342
33,5,Fosvarsspiller,U19,18,Højre,14,2,Pictures/Klip_24\Klip_24_2.mp4,switch play,7.182387899956666
34,5,Fosvarsspiller,U19,18,Højre,14,2,Pictures/Klip_77\Klip_77_2.mp4,link out2,7.077882000012323
35,5,Fosvarsspiller,U19,18,Højre,14,2,Pictures/Klip_86\Klip_86_3.mp4,switch play,5.52569769998081
36,5,Fosvarsspiller,U19,18,Højre,14,2,Pictures/Klip_18\Klip_18_3.mp4,switch play,16.62693260004744
37,5,Fosvarsspiller,U19,18,Højre,14,2,Pictures/Klip_69\Klip_69_2.mp4,switch play ,9.571828500018455
38,5,Fosvarsspiller,U19,18,Højre,14,2,Pictures/Klip_15\Klip_15_1.mp4,highest free man,8.268973700003698
39,5,Fosvarsspiller,U19,18,Højre,14,2,Pictures/Klip_70\Klip_70_1.mp4,highest free man,4.770801899954677
40,5,Fosvarsspiller,U19,18,Højre,14,2,Pictures/Klip_74\Klip_74_1.mp4,highest free man,3.440921099972911
41,5,Fosvarsspiller,U19,18,Højre,14,2,Pictures/Klip_66\Klip_66_1.mp4,highest free man,9.303268100018613
42,5,Fosvarsspiller,U19,18,Højre,14,2,Pictures/Klip_6\Klip_6_1.mp4,link out,12.288828099961393
43,5,Fosvarsspiller,U19,18,Højre,14,2,Pictures/Klip_72\Klip_72_1.mp4,switch play,14.637887599994428
44,5,Fosvarsspiller,U19,18,Højre,14,2,Pictures/Klip_39\Klip_39_3.mp4,switch play2,15.009014900075272
45,5,Fosvarsspiller,U19,18,Højre,14,2,Pictures/Klip_10\Klip_10_1.mp4,highest free man,4.168869799934328
46,5,Fosvarsspiller,U19,18,Højre,14,2,Pictures/Klip_43\Klip_43_2.mp4,link out,11.626090200035833
47,5,Fosvarsspiller,U19,18,Højre,14,2,Pictures/Klip_26\Klip_26_1.mp4,switch play,4.7769507999764755
48,5,Fosvarsspiller,U19,18,Højre,14,2,Pictures/Klip_27\Klip_27_1.mp4,highest free man2,10.209539500065148
49,5,Fosvarsspiller,U19,18,Højre,14,2,Pictures/Klip_65\Klip_65_2.mp4,switch play,11.755131099955179
50,5,Fosvarsspiller,U19,18,Højre,14,2,Pictures/Klip_92\Klip_92_3.mp4,switch play,18.069808200001717
51,5,Fosvarsspiller,U19,18,Højre,14,2,Pictures/Klip_78\Klip_78_1.mp4,highest free man,10.212752199964598
52,5,Fosvarsspiller,U19,18,Højre,14,2,Pictures/Klip_93\Klip_93_3.mp4,switch play,5.464384000049904
53,5,Fosvarsspiller,U19,18,Højre,14,2,Pictures/Klip_38\Klip_38_1.mp4,highest free man2,11.904527499922551
54,5,Fosvarsspiller,U19,18,Højre,14,2,Pictures/Klip_35\Klip_35_1.mp4,highest free man,3.6284147000405937
55,5,Fosvarsspiller,U19,18,Højre,14,2,Pictures/Klip_91\Klip_91_3.mp4,switch play2,5.910047799930908
56,5,Fosvarsspiller,U19,18,Højre,14,2,Pictures/Klip_21\Klip_21_2.mp4,switch play,15.424024200066924
57,5,Fosvarsspiller,U19,18,Højre,14,2,Pictures/Klip_13\Klip_13_1.mp4,highest free man2,3.072659599944018
58,5,Fosvarsspiller,U19,18,Højre,14,2,Pictures/Klip_17\Klip_17_2.mp4,link out,8.312431299942546
59,5,Fosvarsspiller,U19,18,Højre,14,2,Pictures/Klip_89\Klip_89_4.mp4,false switch play,14.15865220001433
60,5,Fosvarsspiller,U19,18,Højre,14,2,Pictures/Klip_83\Klip_83_4.mp4,false highest free man,2.2676603000145406
