,Number,Position,Team,Age,Foot,Experience,Experience_VFF,Video,Decision,RT
0,3,Fosvarsspiller,U17,16,Højre,9,4,Warmup/Klip_3\Klip_3_1.mp4,highest free man,12.414378600078635
1,3,Fosvarsspiller,U17,16,Højre,9,4,Warmup/Klip_1\Klip_1_1.mp4,highest free man,18.75605939992238
2,3,Fosvarsspiller,U17,16,Højre,9,4,Warmup/Klip_2\Klip_2_2.mp4,link out,9.85303220001515
3,3,Fosvarsspiller,U17,16,Højre,9,4,Pictures/Klip_66\Klip_66_1.mp4,switch play2,18.861050399951637
4,3,Fosvarsspiller,U17,16,Højre,9,4,Pictures/Klip_30\Klip_30_1.mp4,switch play,7.228966400027275
5,3,Fosvarsspiller,U17,16,Højre,9,4,Pictures/Klip_22\Klip_22_1.mp4,pass it over,12.762349600088783
6,3,Fosvarsspiller,U17,16,Højre,9,4,Pictures/Klip_36\Klip_36_1.mp4,switch play,2.66442560008727
7,3,Fosvarsspiller,U17,16,Højre,9,4,Pictures/Klip_77\Klip_77_2.mp4,link out2,7.593910799943842
8,3,Fosvarsspiller,U17,16,Højre,9,4,Pictures/Klip_69\Klip_69_2.mp4,false highest free man,4.127991000073962
9,3,Fosvarsspiller,U17,16,Højre,9,4,Pictures/Klip_59\Klip_59_1.mp4,highest free man2,2.7899389000376686
10,3,Fosvarsspiller,U17,16,Højre,9,4,Pictures/Klip_23\Klip_23_2.mp4,switch play,19.656050999998115
11,3,Fosvarsspiller,U17,16,Højre,9,4,Pictures/Klip_7\Klip_7_1.mp4,pass it over,6.930714200017974
12,3,Fosvarsspiller,U17,16,Højre,9,4,Pictures/Klip_8\Klip_8_2.mp4,false highest free man,9.128079600050114
13,3,Fosvarsspiller,U17,16,Højre,9,4,Pictures/Klip_14\Klip_14_1.mp4,switch play2,6.119369299965911
14,3,Fosvarsspiller,U17,16,Højre,9,4,Pictures/Klip_85\Klip_85_4.mp4,pass it over,5.338404799927957
15,3,Fosvarsspiller,U17,16,Højre,9,4,Pictures/Klip_33\Klip_33_1.mp4,highest free man,9.68881279998459
16,3,Fosvarsspiller,U17,16,Højre,9,4,Pictures/Klip_75\Klip_75_1.mp4,false pass it over,4.800668200012296
17,3,Fosvarsspiller,U17,16,Højre,9,4,Pictures/Klip_83\Klip_83_4.mp4,pass it over,2.7448643998941407
18,3,Fosvarsspiller,U17,16,Højre,9,4,Pictures/Klip_92\Klip_92_3.mp4,switch play2,2.223136799992062
19,3,Fosvarsspiller,U17,16,Højre,9,4,Pictures/Klip_5\Klip_5_1.mp4,highest free man,12.666616200003773
20,3,Fosvarsspiller,U17,16,Højre,9,4,Pictures/Klip_74\Klip_74_1.mp4,highest free man,6.981513799983077
21,3,Fosvarsspiller,U17,16,Højre,9,4,Pictures/Klip_93\Klip_93_3.mp4,switch play,3.2322694999165833
22,3,Fosvarsspiller,U17,16,Højre,9,4,Pictures/Klip_15\Klip_15_1.mp4,pass it over,4.146987300016917
23,3,Fosvarsspiller,U17,16,Højre,9,4,Pictures/Klip_39\Klip_39_3.mp4,switch play2,3.5240382000338286
24,3,Fosvarsspiller,U17,16,Højre,9,4,Pictures/Klip_35\Klip_35_1.mp4,highest free man,1.6244771999772638
25,3,Fosvarsspiller,U17,16,Højre,9,4,Pictures/Klip_88\Klip_88_4.mp4,false switch play,6.76310849993024
26,3,Fosvarsspiller,U17,16,Højre,9,4,Pictures/Klip_12\Klip_12_2.mp4,link out,14.03036690002773
27,3,Fosvarsspiller,U17,16,Højre,9,4,Pictures/Klip_89\Klip_89_4.mp4,false switch play,1.9158994999015704
28,3,Fosvarsspiller,U17,16,Højre,9,4,Pictures/Klip_73\Klip_73_2.mp4,false highest free man,15.725993699976243
29,3,Fosvarsspiller,U17,16,Højre,9,4,Pictures/Klip_43\Klip_43_2.mp4,switch play,6.335255500045605
30,3,Fosvarsspiller,U17,16,Højre,9,4,Pictures/Klip_18\Klip_18_3.mp4,switch play,7.231560100102797
31,3,Fosvarsspiller,U17,16,Højre,9,4,Pictures/Klip_26\Klip_26_1.mp4,false highest free man,3.1664620999945328
32,3,Fosvarsspiller,U17,16,Højre,9,4,Pictures/Klip_45\Klip_45_3.mp4,false highest free man2,4.1501445000758395
33,3,Fosvarsspiller,U17,16,Højre,9,4,Pictures/Klip_27\Klip_27_1.mp4,highest free man2,3.754754599998705
34,3,Fosvarsspiller,U17,16,Højre,9,4,Pictures/Klip_32\Klip_32_3.mp4,false highest free man,8.083044899976812
35,3,Fosvarsspiller,U17,16,Højre,9,4,Pictures/Klip_71\Klip_71_3.mp4,switch play,7.895590799977072
36,3,Fosvarsspiller,U17,16,Højre,9,4,Pictures/Klip_60\Klip_60_3.mp4,switch play,8.804160000057891
37,3,Fosvarsspiller,U17,16,Højre,9,4,Pictures/Klip_82\Klip_82_4.mp4,pass it over,6.320943599916063
38,3,Fosvarsspiller,U17,16,Højre,9,4,Pictures/Klip_16\Klip_16_1.mp4,highest free man,8.689046200015582
39,3,Fosvarsspiller,U17,16,Højre,9,4,Pictures/Klip_90\Klip_90_4.mp4,false link out2,4.050558199989609
40,3,Fosvarsspiller,U17,16,Højre,9,4,Pictures/Klip_64\Klip_64_2.mp4,link out,11.537196499994025
41,3,Fosvarsspiller,U17,16,Højre,9,4,Pictures/Klip_38\Klip_38_1.mp4,false link out,3.0914293999085203
42,3,Fosvarsspiller,U17,16,Højre,9,4,Pictures/Klip_84\Klip_84_4.mp4,false switch play2,6.72590640000999
43,3,Fosvarsspiller,U17,16,Højre,9,4,Pictures/Klip_55\Klip_55_2.mp4,link out,3.7098891000496224
44,3,Fosvarsspiller,U17,16,Højre,9,4,Pictures/Klip_62\Klip_62_2.mp4,switch play2,4.382880700053647
45,3,Fosvarsspiller,U17,16,Højre,9,4,Pictures/Klip_78\Klip_78_1.mp4,switch play ,5.209418699960224
46,3,Fosvarsspiller,U17,16,Højre,9,4,Pictures/Klip_86\Klip_86_3.mp4,switch play,4.99134900001809
47,3,Fosvarsspiller,U17,16,Højre,9,4,Pictures/Klip_58\Klip_58_3.mp4,switch play2,5.386457200045697
48,3,Fosvarsspiller,U17,16,Højre,9,4,Pictures/Klip_80\Klip_80_3.mp4,false link out2,7.532460899907164
49,3,Fosvarsspiller,U17,16,Højre,9,4,Pictures/Klip_24\Klip_24_2.mp4,switch play2,6.234021499985829
50,3,Fosvarsspiller,U17,16,Højre,9,4,Pictures/Klip_94\Klip_94_3.mp4,pass it over,11.204194499994628
51,3,Fosvarsspiller,U17,16,Højre,9,4,Pictures/Klip_6\Klip_6_1.mp4,link out,2.634628399973735
52,3,Fosvarsspiller,U17,16,Højre,9,4,Pictures/Klip_70\Klip_70_1.mp4,highest free man,2.7157685999991372
53,3,Fosvarsspiller,U17,16,Højre,9,4,Pictures/Klip_28\Klip_28_3.mp4,switch play2,10.909578299964778
54,3,Fosvarsspiller,U17,16,Højre,9,4,Pictures/Klip_72\Klip_72_1.mp4,highest free man,4.157418999937363
55,3,Fosvarsspiller,U17,16,Højre,9,4,Pictures/Klip_17\Klip_17_2.mp4,pass it over,2.6268662000074983
56,3,Fosvarsspiller,U17,16,Højre,9,4,Pictures/Klip_87\Klip_87_3.mp4,false highest free man,9.359518199926242
57,3,Fosvarsspiller,U17,16,Højre,9,4,Pictures/Klip_10\Klip_10_1.mp4,link out,1.8631654001073912
58,3,Fosvarsspiller,U17,16,Højre,9,4,Pictures/Klip_91\Klip_91_3.mp4,switch play,2.2935989999677986
59,3,Fosvarsspiller,U17,16,Højre,9,4,Pictures/Klip_21\Klip_21_2.mp4,pass it over,10.493763200007379
60,3,Fosvarsspiller,U17,16,Højre,9,4,Pictures/Klip_57\Klip_57_2.mp4,link out,7.8750747999874875
61,3,Fosvarsspiller,U17,16,Højre,9,4,Pictures/Klip_81\Klip_81_4.mp4,false switch play,9.476815499947406
62,3,Fosvarsspiller,U17,16,Højre,9,4,Pictures/Klip_13\Klip_13_1.mp4,highest free man,3.19734429998789
63,3,Fosvarsspiller,U17,16,Højre,9,4,Pictures/Klip_65\Klip_65_2.mp4,link out,9.907084200065583
