,Number,Position,Age,Foot,Experience,Experience_VFF,Tactic,Decision,RT
0,56,Fosvarsspiller,432,Højre,0,0,Pictures/Klip_1/Klip_1.mp4,Link,1.7590875829919241
1,56,Fosvarsspiller,432,Højre,0,0,Pictures/Klip_5/Klip_5.mp4,Switching false,46.75658316700719
2,56,Fosvarsspiller,432,Højre,0,0,Pictures/Klip_2/Klip_2.mp4,Passing over the opponent,1.4843939999991562
3,56,Fosvarsspiller,432,Højre,0,0,Pictures/Klip_3/Klip_3.mp4,Passing over opponent,7.776064042001963
4,56,Fosvarsspiller,432,Højre,0,0,Pictures/Klip_4/Klip_4.mp4,Highest free man,1.3623524169961456
