,Number,Position,Age,Foot,Experience,Experience_VFF,Tactic,Decision,RT
0,333,Fosvarsspiller,56,Højre,15,6,Pictures/Klip_4/Klip_4.mp4,Highest free man,6.199421699973755
1,333,Fosvarsspiller,56,Højre,15,6,Pictures/Klip_5/Klip_5.mp4,Switching false,8.854334999923594
2,333,Fosvarsspiller,56,Højre,15,6,Pictures/Klip_1/Klip_1.mp4,Link,10.25627610005904
3,333,Fosvarsspiller,56,Højre,15,6,Pictures/Klip_2/Klip_2.mp4,Switching 2,8.396761700045317
4,333,Fosvarsspiller,56,Højre,15,6,Pictures/Klip_3/Klip_3.mp4,Passing over opponent,0.23422250000294298
