,Number,Position,Age,Foot,Experience,Experience_VFF,Tactic,Decision,RT
0,12,Fosvarsspiller,12,Højre,1,2,Pictures/Klip_5/Klip_5.mp4,Highest free man,4.797302500010119
1,12,Fosvarsspiller,12,Højre,1,2,Pictures/Klip_4/Klip_4.mp4,Switching,3.7698228749941336
2,12,Fosvarsspiller,12,Højre,1,2,Pictures/Klip_1/Klip_1.mp4,Link,8.453207208003732
3,12,Fosvarsspiller,12,Højre,1,2,Pictures/Klip_3/Klip_3.mp4,Highest free man,4.648362125008134
4,12,Fosvarsspiller,12,Højre,1,2,Pictures/Klip_2/Klip_2.mp4,Switching 2,5.263450667000143
