,Number,Position,Age,Foot,Experience,Experience_VFF,Tactic,Decision
0,3,Fosvarsspiller,3,Højre,1,1,,Link
1,,,,,,,,Higest free man
2,,,,,,,,Link
3,,,,,,,,Highest free man
4,,,,,,,,Highest free man
