,Number,Position,Age,Foot,Experience,Experience_VFF,Tactic,Decision
0,5,Fosvarsspiller,5,Højre,1,1,,Switching false
1,,,,,,,,Highest free man
2,,,,,,,,Switching 2
3,,,,,,,,Highest free man
4,,,,,,,,Passing over opponent
