,Number,Position,Age,Foot,Experience,Experience_VFF,Tactic,Decision,RT
0,222,Fosvarsspiller,12,Højre,6,4,Pictures/Klip_5/Klip_5.mp4,Highest free man,1.978480700054206
1,222,Fosvarsspiller,12,Højre,6,4,Pictures/Klip_2/Klip_2.mp4,Switching 2,2.6707255999790505
2,222,Fosvarsspiller,12,Højre,6,4,Pictures/Klip_4/Klip_4.mp4,Highest free man,1.1585123999975622
3,222,Fosvarsspiller,12,Højre,6,4,Pictures/Klip_3/Klip_3.mp4,Highest free man,2.1408960000844672
4,222,Fosvarsspiller,12,Højre,6,4,Pictures/Klip_1/Klip_1.mp4,Link false positive,2.3008911999640986
