,Number,Position,Age,Foot,Experience,Experience_VFF,Video,Decision,RT
0,4,Fosvarsspiller,4,Højre,0,0,Warmup/Klip_3/Klip_3.mp4,Highest free man,1.8669303329952527
1,4,Fosvarsspiller,4,Højre,0,0,Warmup/Klip_2/Klip_2.mp4,Switching,1.2006642089982051
2,4,Fosvarsspiller,4,Højre,0,0,Warmup/Klip_1/Klip_1.mp4,Higest free man,1.2108717920200434
3,4,Fosvarsspiller,4,Højre,0,0,Pictures/Klip_1/Klip_1.mp4,Link,0.6426040829974227
4,4,Fosvarsspiller,4,Højre,0,0,Pictures/Klip_4/Klip_4.mp4,Passing over the opponent,3.156957917002728
5,4,Fosvarsspiller,4,Højre,0,0,Pictures/Klip_2/Klip_2.mp4,Link,1.4631605420145206
6,4,Fosvarsspiller,4,Højre,0,0,Pictures/Klip_3/Klip_3.mp4,Passing over opponent,7.224095832993044
7,4,Fosvarsspiller,4,Højre,0,0,Pictures/Klip_5/Klip_5.mp4,Switching 1,8.534118999989005
