,Number,Position,Age,Foot,Experience,Experience_VFF,Tactic,Decision,RT
0,99,Fosvarsspiller,99,Højre,0,0,Pictures/Klip_4/Klip_4.mp4,Highest free man,0.651173624999501
1,99,Fosvarsspiller,99,Højre,0,0,Pictures/Klip_1/Klip_1.mp4,Link false positive,9.747163624997484
2,99,Fosvarsspiller,99,Højre,0,0,Pictures/Klip_5/Klip_5.mp4,Switching 2,0.9393348340017837
3,99,Fosvarsspiller,99,Højre,0,0,Pictures/Klip_3/Klip_3.mp4,Passing over opponent,1.5280965830024797
4,99,Fosvarsspiller,99,Højre,0,0,Pictures/Klip_2/Klip_2.mp4,Passing over the opponent,18.755972375001875
